"ID","IBLOCK_SECTION_ID","NAME","DEPTH_LEVEL"
53,,Skincare,1
54,,Base Makeup,1
58,,Makeup,1
59,,Perfume,1
60,,Hair Product,1
61,,Body Care,1
62,,Sun Product,1
63,,Accessories/Tool,1
65,,Supplement ,1
1821,,For Men,1
2587,53,Facial Wash,2
2595,53,Cleansing,2
2614,53,Face Care,2
2716,53,Face Lotion,2
2584,54,Foundation,2
2585,54,Base/Primer,2
2586,54,Concealer,2
2590,54,Powder,2
2588,58,Eye,2
2594,58,Lip,2
2597,58,Cheek,2
2599,58,Nail,2
2601,58,Eyebrow,2
2615,58,Set & Palette,2
245,59,Perfume,2
2543,60,Daily Hair Care,2
2545,60,Special Hair Care,2
2546,60,Hair Color,2
2547,60,Hair Styling,2
2592,61,Daily Body Care,2
2598,61,Special Body Care,2
2600,61,Other Body Care,2
2602,61,Oral Care,2
2679,61,Deodorant,2
2645,62,Sun Protection,2
2620,63,Makeup Tool,2
2621,63,Skincare Tool,2
2622,63,Hair Tool,2
2672,63,Set,2
2673,63,Body Tool,2
3508,63,Contact Lens,2
3671,63,Home Perfume,2
251,65,Healthy/Beauty,2
247,1821,Perfume (for men),2
1822,1821,Skincare (for men),2
1823,1821,Body (for men),2
1825,1821,Shaving (for men),2
2084,1821,Cleansing (for men),2
2160,1821,Hair Styling (for men),2
3362,1821,Hair Care (for men),2
2542,245,Perfume,3
2632,245,Body Mist,3
2635,245,Perfume Lotion/Oil,3
2636,247,Perfum (For men),3
249,251,Beauty skin,3
2667,251,Dietary Food (Healthy care) ,3
2668,251,Body/shape supplement,3
2701,1822,Skincare(for men),3
2697,1823,Body (for men),3
2700,1825,Shaving (for men),3
2698,2084,Cleansing (for men),3
2699,2160,Hair Styling (for men),3
232,2543,Shampoo,3
1971,2543,Conditioner,3
1769,2545,Hair Leave-on,3
1782,2545,Hair Treatment,3
233,2546,Hair Color,3
235,2547,Hair Spray/ Mist,3
236,2547,Hair Styling ,3
255,2584,Liquid Foundation ,3
256,2584,Other Foundation,3
1642,2584,Cream Foundation,3
1755,2584,BB ,3
2085,2584,CC,3
2629,2584,Cushion,3
254,2585,Base,3
3076,2585,Primer,3
258,2586,Concealer ,3
56,2587,Facial Foam,3
68,2587,Facial Gel Wash,3
1867,2587,Facial Soap,3
2730,2587,Scrub/Peeling,3
217,2588,Pencil Eyeliner ,3
218,2588,Gel Liner ,3
225,2588,Liquid Liner,3
226,2588,Mascara,3
227,2588,Eyeshadow ,3
252,2590,Foundation Powder,3
253,2590,Loose Powder ,3
257,2590,Pressed Powder ,3
212,2592,Body Lotion,3
213,2592,Foot Care,3
214,2592,Body Soap (Bar),3
215,2592,Hand Care,3
1726,2592,Body Wash,3
1956,2592,Body Oil,3
1966,2592,Body Powder,3
1967,2592,Body Cream,3
1968,2592,Body Gel,3
2220,2592,Feminine Cleansing,3
220,2594,Lipstick ,3
221,2594,Lip Liner,3
228,2594,Lip Gloss ,3
2156,2594,Lip Tint,3
69,2595,Cleansing Oil,3
73,2595,Point Remover,3
1736,2595,Cleansing Cream/Gel,3
1866,2595,Cleansing Water,3
2140,2595,Cleansing Wipes,3
3649,2595,Cleansing Balm,3
3650,2595,Cleansing Milk,3
1649,2597,Bronzer,3
2213,2597,Multiples,3
2725,2597,Cream Blush On,3
2727,2597,Powder Blush On,3
2728,2597,Highlight,3
1644,2598,Body Scrub,3
1969,2598,Body Balm/Butter,3
222,2599,Nail Color,3
2661,2599,Nail Remover,3
2662,2599,Other Nail,3
2046,2600,Body Soak,3
2228,2600,Body Hair Removal,3
216,2601,Eyebrow Pencil,3
224,2601,Eyebrow Powder,3
231,2601,Eyebrow Mascara,3
3327,2601,Eyebrow Gel,3
2659,2602,Toothpaste,3
2660,2602,Other Oral Care,3
77,2614,Face Cream,3
78,2614,Face Oil,3
79,2614,Mask/Pack,3
82,2614,Eye Care,3
83,2614,Lip Care,3
1779,2614,Acne Care,3
1817,2614,Face Treatment,3
2015,2614,Scar Care,3
2179,2614,Day Cream,3
2180,2614,Night Cream,3
3307,2614,Melasma Care,3
1843,2615,Set & Palette,3
239,2620,Other makeup tool,3
241,2620,Brush tool ,3
1972,2620,Puff /Sponge /Wedges,3
1973,2620,Eyelash tool,3
2031,2620,Compact Case/ Palette,3
2210,2620,Fake Eyelash,3
2262,2620,Brush Cleanser,3
238,2621,Cotton,3
240,2621,Oil sheet /Blotting Paper,3
2001,2621,Cleansing Brush Refill,3
2648,2621,Face electric tools,3
4132,2621,Cotton Bud,3
2174,2622, Hair brushes,3
2647,2622,Hair electric tools,3
3863,2622,Hair Accessories,3
248,2645,Facial Sunscreen,3
2053,2645,Body Sunscreen,3
2677,2645,Tanning ,3
1606,2672,Skincare Set,3
2684,2672,Gift set,3
1964,2673,Powder sheet/ Wipe,3
2658,2673,Toothbrush,3
2674,2673,Body scrub tool,3
2675,2673,Other body tool,3
4409,2673,Teeth Whitening Kit,3
4595,2673,Electric Toothbrush,3
2680,2679,Underarm Care,3
2681,2679,Deodorant,3
84,2716,Essence,3
1684,2716,Serum,3
2715,2716,Toner,3
2717,2716,Water Lotion,3
2719,2716,Emulsion,3
2721,2716,Face Mist,3
4607,2716,Ampoule,3
3363,3362,Hair Care (for men),3
3509,3508,Contact Lens,3
3518,3508,Contact Lens Cleaner,3
3519,3508,Artificial Tears,3
2683,3671,Home Perfume,3
